Designator,Mid X,Mid Y,Rotation,Layer
C1,81.28,-54.991,270.0,top
C2,89.154,-49.784,0.0,top
CADJ1,86.868,-62.738,0.0,top
D1,99.441,-52.578,180.0,top
F1,94.107,-52.578,0.0,top
J1,76.708,-53.462,0.0,top
J2,105.537,-53.462,0.0,top
RV1,97.282,-61.214,270.0,top
U1,87.63,-55.753,90.0,top
